Timestamp,First Name,Match Number,Team Number,Did the robot leave the ROBOT STARTING ZONE?,How many rings are scored into the SPEAKER? [Missed],How many rings are scored into the SPEAKER? [Made],How many rings are scored into the AMP? [Missed],How many rings are scored into the AMP? [Made],How many rings are scored into the SPEAKER? [Missed],How many rings are scored into the SPEAKER? [Made],How many rings are scored into the AMP? [Missed],How many rings are scored into the AMP? [Made],How many rings did THIS TEAM score into the TRAP? [Missed],How many rings did THIS TEAM score into the TRAP? [Made],Where did the robot end the match?,If the robot hung was it spotlit(High note on microphone)?,Driver Skill [Offensive],Driver Skill [Defensive],Did this robot breakdown?,Describe the team's strategy.,Describe this teams strategy,Any other comments about this team
3/16/2024 15:12,Eder,22,9672,Yes,0,0,0,0,0,0,0,0,0,0,Not in stage area,Robot did not hang,2,2,Yes,Defensive - prevents opposing teams from scoring,Does not have ability to shoot and died halfway through the match ,No
3/16/2024 19:26,Eder,56,9672,Yes,0,0,0,0,1,0,0,0,0,0,Parked,Robot did not hang,2,1,No,Cycler(Speaker) - Scores only into speaker repeatedly,They had a poor build quality and did not go for scoring many points. They sort of just stayed there ,No
3/16/2024 16:59,Hugo,36,9672,Yes,0,0,0,0,0,0,0,0,0,0,Parked,Robot did not hang,This type of driving was not displayed,2,No,Defensive - prevents opposing teams from scoring,"Drove around, tried to block","pretty bad at blocking, didn't touch rings at all"
3/16/2024 16:19,Kieran,31,9672,No,0,0,0,0,0,0,0,0,0,0,Parked,Robot did not hang,1,4,No,Defensive - prevents opposing teams from scoring,Defense ,Tablebot 
3/17/2024 9:53,Kieran,62,9672,No,0,0,0,0,1,0,0,0,0,0,Parked,Robot did not hang,1,1,Yes,Defensive - prevents opposing teams from scoring,Speaker,Got a ring stuck
3/17/2024 11:43,luke,76,9672,No,0,0,0,0,0,0,0,0,0,0,Not in stage area,Robot did not hang,This type of driving was not displayed,This type of driving was not displayed,Yes,breaking down ,broke down,broke down
3/16/2024 18:25,Rcd,47,9672,Yes,0,0,0,0,0,0,0,0,0,0,Parked,Robot did not hang,1,1,No,Defensive - prevents opposing teams from scoring,Defense only- can’t hold or shoot rings,Not good at defense- easily pushed.
3/16/2024 11:04,Tai,1,9672,No,0,0,0,0,0,0,0,0,0,0,Not in stage area,No,1,1,Yes,Tablebot that barely moves,None,Didn’t leave the first area
3/16/2024 13:04,Tristan,15,9672,Yes,0,0,0,0,0,0,0,0,0,0,Parked,Robot did not hang,1,3,No,Defensive - prevents opposing teams from scoring,"Blocking, doesn’t even have the capabilities to score",None
3/17/2024 10:30,Alesha,66,9241,No,0,0,0,0,0,0,0,0,0,0,Parked,Robot did not hang,This type of driving was not displayed,3,No,Defensive - prevents opposing teams from scoring,Only defended. Did not have enough time to hang.,no penalties
